Topic,pole,Origin,Model,mu,sd,d,mu_aff,mu_rev,mu_en,mu_zh,ref,neu
Trade and Tariffs,US,US,claude-sonnet-4.6,-0.23,1.27,-0.18,-0.39,-0.06,0.67,-1.12,0.0,0.0
Trade and Tariffs,US,US,gemini-3.1-flash-lite,-0.39,1.21,-0.32,-1.1,0.32,-0.07,-0.71,0.0,0.4
Trade and Tariffs,US,US,grok-4.3,-0.33,1.36,-0.24,-0.22,-0.44,0.64,-1.3,0.0,0.0
South China Sea Dispute,CN,EU,mistral-small-2603,-0.46,1.67,-0.27,-1.19,0.27,0.41,-1.32,0.0,0.0
South China Sea Dispute,CN,CN,deepseek-v4-flash,-1.82,0.52,-3.53,-1.86,-1.78,-1.73,-1.91,0.0,2.3
South China Sea Dispute,CN,CN,seed-2.0-lite,-0.16,0.89,-0.18,-0.15,-0.17,0.22,-0.54,0.0,78.9
South China Sea Dispute,CN,CN,qwen3.6-plus,-1.19,1.32,-0.9,-0.48,-1.9,-0.38,-2.0,0.0,0.0
South China Sea Dispute,CN,CN,minimax-m2.7,-0.89,1.2,-0.74,-0.7,-1.08,0.14,-1.91,2.7,25.8
South China Sea Dispute,CN,CN,glm-5.1,-0.64,1.21,-0.53,-0.09,-1.2,0.01,-1.3,0.0,0.8
South China Sea Dispute,CN,US,gpt-5.3-chat,0.54,0.87,0.62,1.01,0.06,0.96,0.11,0.0,8.2
South China Sea Dispute,CN,US,gpt-4o-mini,0.66,1.68,0.39,-0.5,1.81,1.5,-0.19,0.0,0.0
South China Sea Dispute,CN,US,claude-sonnet-4.6,0.66,1.02,0.64,1.32,0.0,1.27,0.05,0.0,0.0
South China Sea Dispute,CN,US,gemini-3.1-flash-lite,-0.35,1.13,-0.31,0.3,-1.0,0.0,-0.7,0.0,2.0
